Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C21, C22, C23, C26, C27, C29, C3, C30, C31, C32, C41, C42, C46, C47, C50, C56, C59, C7",C0402,20,100n,C387940
"C10, C12, C16, C17, C33, C45, C52, C53, C54",C0402,9,33n,C541461
C11,C0402,1,470p,C561725
"C13, C14, C15, C8",C0402,4,2.7n,C525230
"C19, C20",C0402,2,22p,C384802
C2,C7343-43,1,220u,C282492
"C24, C25, C28, C4, C44, C6, C60",C1206_T,7,10u,C2175512
"C34, C35, C36, C37, C38, C39, C43, C57, C58",C0402,9,1n,C527013
"C48, C55, C9",C0603,3,2.2u,C6119844
"C49, C51",C0603,2,4.7u,C2175061
C5,C1206_T,1,4.7u,C1952741
"D2, D3, D4, D5, D6, D7, D8, D9, U44, U6",SOT23,10,BAS70-04,C150242
IC1,SO14,1,TL074,C12594
IC4,SO14,1,OPA4171,C46269
"LED1, LED2, LED3, LED4",CHIP-LED0805,4,OR,C2296
"LED5, LED6, LED7, LED8",CHIP-LED0805,4,W,C965815
"R1, R2",R0402,2,47k,C2991679
"R10, R14, R17, R21, R29, R3, R51, R8",R0402,8,1k,C2989674
"R11, R12, R13, R18, R22, R26, R28, R31, R33, R35, R39, R4, R40, R6, R7, R9",R0402,16,10k,C2961361
"R15, R19, R23, R24, R25, R27, R30, R32, R34, R36, R56, R58, R60",R0402,13,30k,C2961363
"R16, R5",R0402,2,2k,C304583
R20,R0402,1,31k6,C881372
"R37, R38, R46, R47, R52, R53, R66, R67",R0402,8,20k,C409679
"R41, R42, R48",R0402,3,0,C2991743
"R43, R44",R0402,2,39,C305300
R45,R0603,1,0,C1858694
RN1,MNR35,1,47k,C1731549
U1,SO08,1,TPS2021,C1323228
U2,TQFP64-10X10,1,AT32UC3B064/0128/0256,C2053269
"U3, U4",TSSOP16,2,AD5687R,C650116
U7,TSSOP16,1,AD7923,C27818
