Designator,Mid X,Mid Y,Rotation,Layer
C1,175.1711,-133.8961,270.0,top
C10,151.3586,-148.8186,90.0,top
C11,151.6761,-130.0861,270.0,top
C12,148.5011,-130.0861,270.0,top
C13,145.3261,-130.0861,270.0,top
C14,146.5961,-148.8186,90.0,top
C15,145.0086,-148.8186,90.0,top
C16,142.1511,-130.0861,270.0,top
C17,140.2461,-145.9611,90.0,top
C18,138.6586,-145.9611,90.0,top
C19,137.7061,-141.5161,270.0,top
C2,109.7661,-140.8811,270.0,top
C20,137.7061,-137.7061,90.0,top
C21,128.8161,-83.7311,0.0,top
C22,117.3861,-83.7311,0.0,top
C23,135.1661,-96.4311,0.0,top
C24,151.0411,-114.5286,270.0,top
C25,179.6161,-119.2911,0.0,top
C26,153.2636,-114.5286,270.0,top
C27,179.6161,-116.7511,0.0,top
C28,140.5636,-114.5286,270.0,top
C29,179.6161,-109.1311,0.0,top
C3,175.1711,-127.8636,90.0,top
C30,142.7861,-114.5286,270.0,top
C31,134.5311,-155.1686,270.0,top
C32,123.7361,-96.4311,0.0,top
C33,179.6161,-74.2061,90.0,top
C34,171.0436,-53.2511,180.0,top
C35,124.3711,-66.5861,180.0,top
C36,131.0386,-53.2511,180.0,top
C37,117.7036,-53.2511,180.0,top
C38,137.7061,-66.5861,180.0,top
C39,144.3736,-53.2511,180.0,top
C4,177.7111,-133.5786,90.0,top
C41,114.8461,-142.7861,90.0,top
C42,165.6461,-135.4836,0.0,top
C43,151.0411,-66.5861,180.0,top
C44,165.9636,-123.4186,180.0,top
C45,155.8036,-140.5636,180.0,top
C46,155.8036,-142.1511,180.0,top
C47,149.7711,-148.8186,90.0,top
C48,153.2636,-130.0861,270.0,top
C49,152.9461,-148.8186,90.0,top
C5,116.7511,-147.8661,270.0,top
C50,150.0886,-130.0861,270.0,top
C51,146.9136,-130.0861,270.0,top
C52,148.1836,-148.8186,90.0,top
C53,143.7386,-130.0861,270.0,top
C54,143.4211,-148.8186,90.0,top
C55,141.8336,-148.8186,90.0,top
C56,140.5636,-130.0861,270.0,top
C57,157.7086,-53.2511,180.0,top
C58,164.3761,-66.5861,180.0,top
C59,158.6611,-151.0411,270.0,top
C6,177.7111,-127.5461,90.0,top
C60,156.7561,-151.0411,270.0,top
C7,114.8461,-151.6761,0.0,top
C8,155.8036,-138.9761,180.0,top
C9,155.8036,-137.3886,180.0,top
D2,124.3711,-69.7611,0.0,top
D3,117.7036,-56.4261,0.0,top
D4,131.0386,-56.4261,0.0,top
D5,137.7061,-69.7611,0.0,top
D6,144.3736,-56.4261,0.0,top
D7,151.0411,-69.7611,0.0,top
D8,157.7086,-56.4261,0.0,top
D9,164.3761,-69.7611,0.0,top
IC1,123.1011,-83.7311,90.0,top
IC4,129.4511,-96.4311,90.0,top
LED1,144.3736,-79.9211,0.0,top
LED2,157.7086,-79.9211,0.0,top
LED3,171.0436,-79.9211,0.0,top
LED4,184.3786,-79.9211,0.0,top
LED5,151.0411,-93.2561,0.0,top
LED6,164.3761,-93.2561,0.0,top
LED7,177.7111,-93.2561,0.0,top
LED8,191.0461,-93.2561,0.0,top
PF1,181.8386,-134.8486,180.0,top
PF2,181.8386,-125.6411,180.0,top
R1,127.5461,-145.9611,180.0,top
R10,184.3786,-86.2711,270.0,top
R11,184.3786,-83.0961,90.0,top
R12,128.8161,-82.4611,180.0,top
R13,128.8161,-85.0011,180.0,top
R14,171.0436,-86.2711,270.0,top
R15,168.8211,-90.0811,0.0,top
R16,124.6886,-131.3561,0.0,top
R17,177.7111,-98.9711,270.0,top
R18,180.8861,-74.2061,270.0,top
R19,142.1511,-90.0811,0.0,top
R2,127.5461,-147.8661,180.0,top
R20,178.3461,-74.2061,90.0,top
R21,151.0411,-98.9711,270.0,top
R22,117.3861,-85.0011,0.0,top
R23,182.1561,-90.0811,0.0,top
R24,171.0436,-51.9811,0.0,top
R25,155.4861,-90.0811,0.0,top
R26,171.0436,-54.5211,0.0,top
R27,124.3711,-65.3161,0.0,top
R28,117.3861,-82.4611,0.0,top
R29,164.3761,-98.9711,270.0,top
R3,144.3736,-86.2711,270.0,top
R30,131.0386,-51.9811,0.0,top
R31,135.1661,-97.7011,180.0,top
R32,117.7036,-51.9811,0.0,top
R33,135.1661,-95.1611,180.0,top
R34,137.7061,-65.3161,0.0,top
R35,123.7361,-95.1611,0.0,top
R36,144.3736,-51.9811,0.0,top
R37,128.1811,-86.9061,270.0,top
R38,128.1811,-80.5561,90.0,top
R39,123.7361,-97.7011,0.0,top
R4,132.9436,-155.1686,270.0,top
R40,116.4336,-142.7861,90.0,top
R41,155.8036,-130.0861,270.0,top
R42,157.3911,-130.0861,270.0,top
R43,121.8311,-152.6286,180.0,top
R44,121.8311,-151.0411,180.0,top
R45,189.7761,-119.6086,270.0,top
R46,118.0211,-86.9061,270.0,top
R47,118.0211,-80.5561,90.0,top
R48,154.8511,-155.4861,0.0,top
R5,124.6886,-133.2611,0.0,top
R51,191.0461,-98.9711,270.0,top
R52,177.7111,-96.4311,90.0,top
R53,191.0461,-96.4311,90.0,top
R56,151.0411,-65.3161,0.0,top
R58,157.7086,-51.9811,0.0,top
R6,144.3736,-83.0961,90.0,top
R60,164.3761,-65.3161,0.0,top
R66,151.0411,-96.4311,90.0,top
R67,164.3761,-96.4311,90.0,top
R7,157.7086,-83.0961,90.0,top
R8,157.7086,-86.2711,270.0,top
R9,171.0436,-83.0961,90.0,top
RN1,110.7186,-83.7311,270.0,top
U1,121.8311,-147.2311,90.0,top
U2,146.5961,-139.6111,180.0,top
U3,135.8011,-114.5286,180.0,top
U4,146.5961,-114.5286,180.0,top
U40,165.6461,-129.7773,0.0,top
U44,175.1711,-52.9336,180.0,top
U6,181.8386,-130.4036,90.0,top
U7,179.6161,-112.9411,270.0,top
