"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","4.7n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C2,C3","470p","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C4,C5","47u","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C6,C7,C8,C9,C10,C11,C12,C13","0.1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"D1,D2","D","~","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"D3,D4","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp","2",""
"D6,D8","LED","~","LED_THT:LED_D3.0mm","2",""
"J1","CV1","~","mort_mix:PJ398SM","1",""
"J2","CV2","~","mort_mix:PJ398SM","1",""
"J3","Ch1_in","~","mort_mix:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical","1",""
"J4","Ch2_in","~","mort_mix:PJ398SM","1",""
"J5","Ch1_out","~","mort_mix:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical","1",""
"J6","Ch2_out","~","mort_mix:PJ398SM","1",""
"J7","~","~","mort_mix:Pins_2x05_2.54mm_TH_Europower_shrouded","1",""
"R1,R2,R7,R8","51k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R3,R4,R5,R6","47k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R9,R10,R11,R12,R13,R14,R19,R20","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8",""
"R15,R16,R27,R28,R29,R30,R37,R38","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8",""
"R17,R18","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R21,R22,R31,R32,R33,R34","56k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"R23,R25","330k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R24,R26","400k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R35,R36","10","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R39,R40","20k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R41,R43,R45,R46","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R42,R44","1.5k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"RV1,RV2,RV3,RV4","100k_B","~","mort_mix:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_withhole","4",""
"U1","AS3360","http://www.alfarzpp.lv/eng/sc/AS3360.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
"U2,U3,U4","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SO-14_3.9x8.65mm_P1.27mm","3",""
"U5","LM358","","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
