"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C16,C17","10pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C1","1nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C3,C7,C8,C9","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C2,C5,C10,C11,C18,C19","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6",""
"C4,C13","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"J1","1V/oct in","~","mort_mix:PJ398SM","1",""
"R24,R25","10","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","2",""
"R22","360","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R13,R14","470","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R47,R50","560","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R31,R37,R38,R43,R45,R46","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"R12,R44","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R17,R48,R49","22k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R10","24k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R39","82k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R28,R35,R41","91k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R2,R3,R4,R6,R8,R9,R18,R19,R27,R29,R32,R33,R36,R42,RV2,RV3,RV5,RV7,RV8,RV9","100k","~","-- mixed values --","20",""
"R26","180k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R21","200k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R30,R34,R40","240k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R5","360k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R7,R15,R16","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R20","10M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"C14,C15","10uF / 25","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C6,C12","10uF/25V","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"R1,R23","1k8","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"D3,D4,D5,D6,D7,D8","1N4148","~","Diode_SMD:D_SOD-323F","6",""
"D1,D2","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp","2",""
"R11","5k6","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","AS3340","http://www.alfarzpp.lv/eng/sc/AS3340.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
"RV4,RV6,RV10","B10k","~","Potentiometer_THT:Potentiometer_Vishay_T73XX_Horizontal","3",""
"J2","cv_mod_in","~","mort_mix:PJ398SM","1",""
"J6","Eurorack_Power_10pin_Unshrouded","","mort_mix:PinHeader_2x05_P2.54mm_Vertical_shrouded","1",""
"J4","fm_mod_in","~","mort_mix:PJ398SM","1",""
"U3","L78L05_TO92","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","PCM_4ms_Package_SOT:SOT89-3","1",""
"U2","LM337L_SO8","http://www.ti.com/lit/ds/symlink/lm337l.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"J7","PULSE_OUT","~","mort_mix:PJ398SM","1",""
"SW1","PWM SRC SEL","~","PCM_4ms_Switch:Switch_Toggle_SPDT_SubMini","1",""
"J3","pwm_mod_in","~","mort_mix:PJ398SM","1",""
"J8","SAW_OUT","~","mort_mix:PJ398SM","1",""
"J10","SIN_OUT","~","mort_mix:PJ398SM","1",""
"SW2","SYNC MODE","~","PCM_4ms_Switch:Switch_Toggle_SPDT_SubMini","1",""
"J5","sync_in","~","mort_mix:PJ398SM","1",""
"U4","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SO-14_3.9x8.65mm_P1.27mm","1",""
"J9","TRI_OUT","~","mort_mix:PJ398SM","1",""
