Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C9",CP_Elec_6.3x5.9,4,22u,
"C11, C12, C43, C49",C0603,4,18p,
"C13, C16, C18, C2, C21, C22, C23, C29, C32, C33, C34, C37, C38, C39, C4, C44, C45, C46, C47, C5, C51, C6, C7, C8",C0603,24,100n,
"C14, C15, C19, C20, C24, C25, C26, C27, C28, C30, C41, C42, C50",C0603,13,3.3n,
"C17, C36, C48",C0603,3,1u,
"C31, C35",C0805,2,2.2u,
"C40, C52, C53, C55, C56",CP_Elec_6.3x5.4,5,10u,
"C54, C57",C0603,2,220p,
"D1, D2",SOD123,2,1N5819HW,
"F1, F2, F3, F4",FIDUCIAL-1X2,4,FIDUCIAL1X2,
IC1,DBZ_R-PDSO-G3,1,LM4040B10,
IC10,TQFP-10X10-64,1,STM32F405RGT6,
"IC11, IC3, IC5, IC8",TSSOP16,4,4051PW,
IC12,SSOP28,1,WM8731,
"IC13, IC6, IC7",SO14,3,MCP6004,
IC14,SO08,1,LME49720,
"IC2, IC4",SOT223,2,LM1117-3.3,
IC9,SO08,1,MCP6002,
"J1, J10, J11, J12, J13, J14, J15, J16, J17, J18, J2, J3, J4, J5, J6, J7, J8, J9",WQP_PJ_301M6,18,PJ301_THONKICONN6,
JP1,2X5-1.27,1,M05X2MINIJTAG,
JP2,1X06,1,M06SIP,
JP3,AVR_ICSP,1,M05X2PTH,
"L1, L2",0603,2,WE-CBF_0603,
LED1,LED5MM,1,SSL-LX5093TC,
LED2,LED5MM,1,SSL-LX5093PC,
Q1,HC49UP,1,8MHz,
Q2,SOT23-BEC,1,MMBT3904,
"R1, R2, R88, R89",R0603,4,1.0k,
R10,R0603,1,33,
"R11, R12, R17, R18, R28, R29, R35, R46, R48, R49, R73",R0603,11,20k,
"R13, R16, R19, R22, R30, R33, R36, R39, R40, R43, R54, R57, R67, R71",R0603,14,100k,
"R14, R15, R20, R21, R32, R38, R41, R42, R55, R56, R70",R0603,11,120k,
"R23, R24, R25, R26, R3, R4, R5, R6, R61, R62, R63, R64, R65, R66, R7, R8, R9",ALPS_POT_VERTICAL_PS,17,10kB,
"R27, R51, R59, R69, R72",R0603,5,47k,
R31,R0603,1,200k,
R34,R0603,1,33k,
R37,R0603,1,180k,
"R44, R47, R52, R53",R0603,4,2.2k,
"R45, R50, R60",R0603,3,10k,
"R58, R68, R74, R87",R0603,4,6.8k,
"R75, R86",R0603,2,36k,
"R76, R77, R78, R79, R80, R81, R82, R83, R84, R85",ALPS_POT_VERTICAL,10,10kB,
SW1,LP4OA1PBCT,1,LP4OA1PBCT,
"SW2, SW3",EVQ-Q2,2,EVQQ2,
TP1,PAD.03X.03,1,ADC_TEST,
