Designator,Mid X,Mid Y,Rotation,Layer
C1,112.6236,-56.0,0.0,top
C10,81.95,-74.3,180.0,top
C11,161.8361,-74.5236,180.0,top
C12,170.7261,-74.5236,0.0,top
C13,203.4286,-81.5086,0.0,top
C14,92.6211,-82.1436,180.0,top
C15,102.7811,-82.1436,0.0,top
C16,203.4286,-82.7786,0.0,top
C17,160.5661,-84.366,90.0,top
C18,162.1536,-84.3661,90.0,top
C19,119.2911,-84.6836,180.0,top
C2,117.3861,-61.8236,90.0,top
C20,129.4511,-84.6836,0.0,top
C21,171.9326,-88.4936,0.0,top
C22,156.7562,-89.4461,90.0,top
C23,83.4136,-89.7636,0.0,top
C24,73.8886,-91.9861,90.0,top
C25,84.0486,-92.3036,90.0,top
C26,91.6686,-92.9386,180.0,top
C27,103.7336,-92.9386,0.0,top
C28,129.7686,-92.9386,90.0,top
C29,97.7011,-94.8436,270.0,top
C3,70.45,-66.55,90.0,top
C30,118.3386,-95.4786,180.0,top
C31,157.0736,-97.3836,270.0,top
C32,126.5936,-96.4311,0.0,top
C33,158.9786,-99.2886,270.0,top
C34,170.7262,-100.6856,0.0,top
C35,169.1386,-102.4636,0.0,top
C36,158.0261,-104.3686,180.0,top
C37,203.4286,-104.3686,0.0,top
C38,158.0261,-105.9561,180.0,top
C39,168.1861,-107.2261,90.0,top
C4,70.15,-72.5,180.0,top
C40,147.75,-108.35,0.0,top
C41,109.4486,-110.0836,180.0,top
C42,119.6086,-110.0836,0.0,top
C43,136.7536,-110.7186,180.0,top
C44,133.2611,-113.5761,270.0,top
C45,140.2461,-117.3861,270.0,top
C46,159.6136,-117.3861,0.0,top
C47,165.3286,-117.7036,0.0,top
C48,159.6136,-118.9736,0.0,top
C49,135.1661,-120.2436,180.0,top
C5,93.5736,-63.0936,90.0,top
C50,119.9261,-120.5611,0.0,top
C51,111.3536,-120.8786,180.0,top
C52,165.45,-124.85,90.0,top
C53,142.9,-126.05,90.0,top
C54,90.3986,-130.0861,90.0,top
C55,93.2,-120.95,90.0,top
C56,92.9,-144.05,270.0,top
C57,85.5,-144.1,0.0,top
C6,203.4286,-72.3011,0.0,top
C7,154.0,-73.0948,270.0,top
C8,86.9,-69.95,270.0,top
C9,148.0,-75.0,0.0,top
D1,78.6511,-54.8386,0.0,top
D2,102.4636,-54.8386,0.0,top
F1,68.1736,-53.8861,0.0,top
