"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C7","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C2","10uF_5x5.3_16V","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1",""
"C4,C5","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C6","47uF_5x5.3_16V","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1",""
"D1","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp","1",""
"D2","LED","~","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","1",""
"D4,D5,D6,D7,D8","1N4148WS","https://www.vishay.com/docs/85751/1n4148ws.pdf","Diode_SMD:D_SOD-323","5",""
"J1","Out","~","mort_mix:PJ398SM","1",""
"J2","Eurorack_Power_10pin_Unshrouded","","mort_mix:PinHeader_2x05_P2.54mm_Vertical_shrouded","1",""
"J3","Trig","~","mort_mix:PJ398SM","1",""
"Q1,Q2,Q3,Q4","BC847","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","Package_TO_SOT_SMD:SOT-23","4",""
"R1,R13,R14","120","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R2,R6,R8","4k7","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R3","10","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R4","3k3","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R5,R10","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R7","22k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R11","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R12","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R15","4K7","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"RV1,RV2,RV4","A1M","~","mort_mix:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_withhole","3",""
"RV3","A10K","~","mort_mix:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_withhole","1",""
"U1","TLC555xD","http://www.ti.com/lit/ds/symlink/tlc555.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","LM358","","PCM_4ms_Package_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","1",""
