Designator,Mid X,Mid Y,Rotation,Layer
C10,145.3361,-130.95925,90.0,top
C3,140.8911,-60.47425,90.0,top
C4,156.7661,-59.83925,90.0,top
C5,147.5586,-90.31925,180.0,top
C6,153.4324,-92.54175,90.0,top
C7,146.9236,-94.76425,180.0,top
C8,147.8761,-123.97425,180.0,top
C9,152.7974,-127.30795,90.0,top
D1,140.5736,-54.60045,90.0,top
D2,156.4486,-54.60045,270.0,top
IC1,148.5111,-59.83925,270.0,top
IC2,149.1461,-92.54175,270.0,top
IC3,154.8611,-96.66915,180.0,top
IC4,148.1936,-127.78425,270.0,top
IC5,155.1786,-131.59425,180.0,top
JP1,148.5111,-54.28295,270.0,bottom
R1,142.7961,-64.76055,0.0,top
R10,150.0986,-94.76425,0.0,top
R11,152.0036,-98.25665,270.0,top
R12,146.9236,-111.59175,180.0,top
R13,155.6548,-111.59175,0.0,top
R14,147.8761,-125.40295,0.0,top
R15,142.7961,-126.67305,180.0,top
R16,154.2261,-127.30795,90.0,top
R17,141.8436,-128.89545,90.0,top
R18,143.7485,-128.89545,90.0,top
R19,152.6386,-131.27675,270.0,top
R2,151.3686,-63.64925,270.0,top
R20,142.7961,-131.91175,90.0,top
R21,155.6549,-147.15175,180.0,top
R3,145.8124,-63.96675,90.0,top
R4,146.9236,-77.30175,180.0,top
R5,155.6549,-77.30175,180.0,top
R6,144.0661,-92.54175,180.0,top
R7,154.8611,-92.54175,90.0,top
R8,143.2724,-94.76425,90.0,top
R9,144.7011,-94.76425,90.0,top
