Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C16, C17, C18, C19, C21, C24, C26, C28, C29, C36, C37, C38, C39, C46, C47, C48, C49, C50, C7, C8, C9",C0402,24,100n,
"C10, C15, C20",C0805,3,2.2u,
"C11, C2, C22, C23, C27",PANASONIC_C,5,22u,
"C14, C3, C5",C1206,3,22u,
"C25, C51, C52",C0402,3,470n,
"C30, C32, C33, C40, C42",C0402,5,4.7n,
"C31, C41",C0402,2,470p,
"C34, C35, C43, C44",C0402,4,47p,
"C4, C6",C0402,2,20p,
"C45, C53, C54, C55, C56, C57, C58",C0603,7,ESD,
"D1, D2",SOD123,2,1N5819HW,
D3,SOT23,1,BAT54S,
"D4, D5",SOD523,2,1N4148,
F3,FIDUCIAL-1X2,1,FIDUCIAL1X2,
"H3, H5","3,0TINY",2,MOUNT-HOLE3.0TINY,
IC1,WE78,1,R-78E3.3-0.5,
IC10,TSSOP14_065,1,TL074PW,
IC2,TQFP-10X10-64,1,STM32F405RGT6,
IC3,SOT89,1,LD2981ABU33,
IC4,SOP65P640X110-16N,1,DAC8164ICPW,
"IC5, IC6",TSSOP14_065,2,MCP6004,
IC7,TSSOP14_065,1,OPA4171,
IC8,DBZ_R-PDSO-G3,1,LM4040B10,
IC9,TSSOP14_065,1,LM324PW,
JP1,1X04,1,M04PTH,
JP2,1X02,1,M02PTH,
L1,L2012C,1,33u,
"L2, L3, L4",0603,3,WE-CBF_0603,
Q1,CTS406,1,8MHz,
"Q2, Q3",SOT23-BEC,2,MMBT3904,
"R1, R5",R0402,2,39,
"R10, R12, R17, R18, R36",R0402,5,1.5k,
"R11, R15, R19, R9",R0402,4,2.2k,
"R2, R3, R7, R8",R0402,4,100,
"R22, R23, R55, R56, R6, R67",R0402,6,10k,
"R24, R25, R26, R27, R32, R33, R34, R35, R43, R44, R60, R61, R64, R65, R66, R73, R76, R77",R0402,18,100k,
"R28, R29, R30, R31, R70, R71, R72",R0402,7,200k,
"R39, R40, R41, R42, R57, R58, R59",R0402,7,33k,
"R45, R46, R62, R63, R85, R86, R87",R0603,7,1.0k,
"R47, R48, R53, R54",R0402,4,23.7k,
"R49, R50, R75",R0402,3,39k,
"R51, R52, R69",R0402,3,56k,
R68,R0402,1,1.0k,
R74,R0402,1,150k,
"R78, R79, R80, R81",R0402,4,680,
"R82, R83, R84",R0402,3,180,
