Designator,Mid X,Mid Y,Rotation,Layer
C1,134.5311,-62.1411,270.0,top
C10,149.2949,-71.9836,180.0,top
C11,116.91,-74.2063,90.0,top
C12,162.7886,-74.8411,270.0,top
C13,147.5486,-75.4761,90.0,top
C14,116.4336,-79.2861,180.0,top
C15,147.2311,-83.7311,270.0,top
C16,149.1361,-84.3661,270.0,top
C17,125.6411,-84.6836,180.0,top
C18,170.0911,-84.8423,180.0,top
C19,160.2486,-85.6361,270.0,top
C2,131.0386,-63.4111,90.0,top
C20,158.6611,-87.5411,270.0,top
C21,161.0423,-88.6523,180.0,top
C22,110.0836,-89.4461,180.0,top
C23,118.9736,-89.4461,0.0,top
C24,143.4212,-95.7961,270.0,top
C25,161.2011,-97.2248,0.0,top
C26,157.7086,-97.3837,180.0,top
C27,158.3437,-102.9399,90.0,top
C28,111.6711,-108.1786,180.0,top
C29,184.0611,-108.1786,180.0,top
C3,118.3386,-63.7286,0.0,top
C30,117.8624,-116.1161,180.0,top
C31,121.6724,-116.1161,0.0,top
C32,124.0536,-116.1161,180.0,top
C33,126.5936,-116.1161,0.0,top
C34,168.8211,-119.6086,0.0,top
C35,177.0761,-119.6086,180.0,top
C36,157.7086,-120.2436,270.0,top
C37,178.9811,-122.4661,180.0,top
C38,133.7374,-123.1011,180.0,top
C39,167.2336,-123.1011,180.0,top
C4,165.0112,-64.3636,90.0,top
C40,118.1799,-124.3711,180.0,top
C41,123.4186,-124.3711,180.0,top
C42,127.2286,-124.3711,0.0,top
C43,169.1386,-125.3236,0.0,top
C44,176.7586,-125.3236,180.0,top
C45,190.0936,-125.9586,90.0,top
C46,119.7674,-126.2761,270.0,top
C47,125.3236,-126.2761,270.0,top
C48,154.3749,-126.2761,90.0,top
C49,163.5824,-126.2761,270.0,top
C5,118.3386,-65.9511,0.0,top
C50,142.3099,-126.911,270.0,top
C51,178.6636,-127.8636,180.0,top
C52,134.8486,-129.1336,0.0,top
C53,109.1311,-129.6098,180.0,top
C54,153.8986,-135.8011,90.0,top
C55,166.3911,-138.3411,90.0,top
C56,118.4911,-140.8811,90.0,top
C57,166.3911,-141.4861,90.0,top
C58,127.8,-145.2,90.0,top
C6,157.0737,-65.6336,270.0,top
C7,171.6786,-67.8561,270.0,top
C8,144.0561,-69.1261,270.0,top
C9,152.7874,-71.1898,90.0,top
D1,127.2285,-57.6959,90.0,top
D2,109.7661,-85.0011,0.0,top
D3,137.3887,-103.0986,180.0,top
D4,137.8649,-106.8586,90.0,top
D5,141.8335,-108.2285,270.0,top
F3,106.5911,-155.4861,0.0,top
H3,185.3311,-86.9061,0.0,top
H5,111.0361,-112.3061,0.0,top
IC1,111.3536,-58.3311,90.0,top
IC10,158.8199,-126.9111,270.0,top
IC2,155.1813,-78.9432,180.0,top
IC3,117.7037,-83.7801,180.0,top
IC4,161.5186,-92.9386,90.0,top
IC5,119.7674,-120.2436,0.0,top
IC6,125.3236,-120.2436,0.0,top
IC7,172.9486,-122.4661,270.0,top
IC8,135.1661,-125.3236,270.0,top
IC9,146.7549,-125.7998,270.0,top
JP1,181.2036,-75.4761,90.0,bottom
JP2,165.0111,-60.2361,180.0,bottom
L1,114.8461,-64.7898,90.0,top
L2,120.1436,-71.19,0.0,top
L3,119.6086,-79.2274,90.0,top
L4,113.5761,-86.5299,90.0,top
Q1,160.8836,-64.9986,0.0,top
Q2,139.9286,-104.8449,0.0,top
Q3,143.4211,-104.8449,0.0,top
R1,124.3711,-60.8711,90.0,top
R10,111.0361,-72.9361,0.0,top
R11,185.9661,-73.2536,180.0,top
R12,188.5061,-73.2536,0.0,top
R15,167.2338,-91.6685,270.0,top
R17,168.8211,-92.3037,0.0,top
R18,132.9436,-92.9387,180.0,top
R19,132.9436,-96.1136,180.0,top
R2,155.8036,-61.8236,270.0,top
R22,140.5636,-102.1462,0.0,top
R23,142.7862,-102.1462,180.0,top
R24,140.0874,-107.5437,180.0,top
R25,143.5798,-107.5437,180.0,top
R26,140.0874,-108.6549,180.0,top
R27,143.5798,-108.655,180.0,top
R28,121.0374,-111.6711,90.0,top
R29,124.6886,-111.6711,90.0,top
R3,156.9148,-61.8236,270.0,top
R30,119.7674,-112.9411,90.0,top
R31,125.9586,-113.0998,90.0,top
R32,127.2286,-113.0998,90.0,top
R33,117.8624,-113.5761,180.0,top
R34,121.6724,-113.5761,0.0,top
R35,124.0536,-113.5761,180.0,top
R36,151.0412,-114.0524,270.0,top
R39,117.8624,-114.8461,0.0,top
R40,121.6724,-114.8461,180.0,top
R41,124.0536,-114.8461,0.0,top
R42,126.5936,-114.8461,180.0,top
R43,168.8211,-118.3386,180.0,top
R44,177.076,-118.3386,0.0,top
R45,171.3612,-118.9736,180.0,top
R46,174.5361,-118.9736,0.0,top
R47,168.1861,-121.1961,180.0,top
R48,177.7111,-121.1961,0.0,top
R49,149.4535,-121.6722,180.0,top
R5,180.8861,-63.0936,0.0,top
R50,144.0561,-121.6725,0.0,top
R51,144.0563,-122.6246,180.0,top
R52,149.4535,-122.6248,0.0,top
R53,177.7111,-123.7361,0.0,top
R54,168.3448,-124.2124,180.0,top
R55,151.1999,-124.6884,90.0,top
R56,142.31,-124.6885,90.0,top
R57,118.1799,-125.6411,0.0,top
R58,123.4186,-125.6411,0.0,top
R59,127.2286,-125.6411,180.0,top
R6,170.7261,-67.8561,270.0,top
R60,166.9161,-125.9586,90.0,top
R61,178.9811,-125.9586,90.0,top
R62,168.8211,-126.5936,0.0,top
R63,176.9173,-126.5936,180.0,top
R64,118.1799,-126.9111,180.0,top
R65,123.4186,-126.9111,180.0,top
R66,127.2286,-126.9111,0.0,top
R67,151.2,-126.9111,270.0,top
R68,134.8486,-127.8636,180.0,top
R69,150.0887,-128.4985,0.0,top
R7,158.3436,-68.3324,0.0,top
R70,119.1324,-128.8161,270.0,top
R71,124.0536,-128.8161,270.0,top
R72,126.5936,-128.8161,270.0,top
R73,178.6636,-129.4511,0.0,top
R74,181.2036,-129.4511,0.0,top
R75,150.0885,-129.4512,180.0,top
R76,115.1636,-131.3561,180.0,top
R77,179.2986,-133.5786,270.0,top
R78,141.5161,-145.3261,180.0,top
R79,153.5811,-145.3261,180.0,top
R8,159.9312,-69.2848,0.0,top
R80,165.6461,-145.3261,180.0,top
R81,177.7111,-145.3261,180.0,top
R82,108.0,-145.4,0.0,top
R83,120.6,-145.6,0.0,top
R84,132.7911,-145.0,0.0,top
R85,115.8,-145.2,90.0,top
R86,130.4,-148.6,90.0,top
R87,130.8,-155.2,90.0,top
R9,108.4961,-72.9361,180.0,top
