Designator,Mid X,Mid Y,Rotation,Layer
C1,163.5,-57.75,90.0,top
C10,147.5586,-96.1136,0.0,top
C11,157.0836,-99.9236,270.0,top
C12,146.2886,-106.9086,180.0,top
C13,146.2886,-108.4961,180.0,top
C14,145.0186,-114.2111,270.0,top
C15,150.0986,-114.2111,90.0,top
C16,143.4311,-118.3386,270.0,top
C17,144.3836,-126.2761,270.0,top
C18,149.4636,-126.2761,90.0,top
C19,145.0186,-134.2136,270.0,top
C2,141.2086,-61.1886,180.0,top
C20,150.0986,-134.2136,90.0,top
C21,143.4311,-139.2936,270.0,top
C22,158.6711,-141.8336,90.0,top
C23,142.7961,-142.7861,0.0,top
C24,146.2886,-145.3261,0.0,top
C3,146.2886,-63.0,90.0,top
C4,148.1936,-68.4911,90.0,top
C5,142.1611,-80.8736,0.0,top
C6,145.9711,-80.8736,180.0,top
C7,149.4636,-80.8736,180.0,top
C8,148.5111,-84.3661,90.0,top
C9,138.9861,-94.2086,270.0,top
D1,135.4936,-54.2036,0.0,top
D2,158.3536,-54.2036,0.0,top
F1,131.6836,-54.2036,0.0,top
F2,165.9736,-54.2036,0.0,top
F3,131.6836,-155.8036,0.0,top
F4,165.3386,-155.8036,0.0,top
IC1,141.1832,-68.8086,180.0,top
IC2,154.5436,-99.9236,0.0,top
IC3,147.5586,-102.4636,270.0,top
IC4,146.9236,-120.2436,0.0,top
IC5,146.9236,-140.2461,0.0,top
IC6,156.1311,-141.8336,0.0,top
L1,148.1936,-62.9413,90.0,top
Q1,147.5586,-77.3811,0.0,top
Q2,133.9061,-115.4811,270.0,top
Q3,133.5886,-144.0561,270.0,top
R10,140.8911,-105.9561,90.0,top
R12,147.5586,-113.2586,0.0,top
R13,163.7511,-114.5286,90.0,top
R14,147.5586,-115.1636,180.0,top
R15,131.0486,-115.4811,90.0,top
R16,137.7161,-115.4811,0.0,top
R17,150.4161,-120.2436,90.0,top
R18,145.9711,-126.2761,90.0,top
R19,147.5586,-126.2761,270.0,top
R2,130.7311,-66.9036,270.0,top
R20,144.3836,-129.4511,90.0,top
R22,147.5586,-133.2611,0.0,top
R23,141.2086,-135.1661,90.0,top
R24,147.5586,-135.1661,180.0,top
R25,160.2586,-141.8336,270.0,top
R26,151.0511,-142.7861,0.0,top
R27,130.7311,-144.0561,90.0,top
R28,137.3986,-144.0561,180.0,top
R29,142.7961,-144.3736,180.0,top
R3,145.3361,-72.75,0.0,top
R30,151.0511,-144.3736,0.0,top
R31,142.7961,-145.9611,0.0,top
R4,130.7311,-82.1436,270.0,top
R6,130.7311,-87.2236,270.0,top
R7,130.7311,-92.9386,270.0,top
R8,130.7311,-98.3361,270.0,top
R9,152.0036,-99.9236,90.0,top
SW3,163.7511,-98.0186,270.0,top
SW5,163.7511,-119.9261,270.0,top
UC1,143.7486,-89.4461,180.0,top
