Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C9",C0603,4,220p,
"C10, C13, C15, C19, C20, C21, C28, C5",C0603,8,100n,
"C11, C25",C0603,2,220n,
"C12, C14",PANASONIC_D,2,47u,
C16,PANASONIC_B,1,4.7u,
"C17, C18, C2, C24, C3, C7, C8",C0603,7,560p,
"C22, C23, C26, C27",C0603,4,47p,
"D3, D4",SOD123,2,1N5819HW,
"D5, D6",SOD323-W,2,1N4148,
"F1, F2, F3, F4",FIDUCIAL-1X2,4,FIDUCIAL1X2,
"IC1, IC3",SO08,2,TL072D,
IC2,SOIC16N,1,V2164,
IC4,SO16,1,LM13700M,
"IC5, IC6",SO14,2,TL074D,
IC7,DBZ_R-PDSO-G3,1,LM4040 5.0V,
"J1, J2, J3, J4, J5, J6, J7, J8, J9",WQP_PJ_301M6,9,PJ301_THONKICONN6,
JP1,AVR_ICSP,1,M05X2PTH,
"P1, P2",PTC-1206,2,PTCSMD,
"Q1, Q2",SOT23-BEC,2,MMBT3906,
"R1, R12, R13, R2, R43, R5, R6, R8",R0603,8,33k,
"R10, R11, R3, R4",R0603,4,510,
R100,RTRIM3296X,1,5k,
"R14, R17, R19, R21, R28, R32, R41, R46",R0603,8,1.0k,
R15,R0603,1,300k,
"R16, R25",R0603,2,22k,
"R18, R33, R7",ALPS_POT_VERTICAL_PS,3,10kB,
"R20, R29, R31, R35, R37, R38, R40, R42, R45, R9",R0603,10,100k,
"R22, R26, R34",R0603,3,47k,
R23,R0603,1,27k,
R24,R0603,1,62k,
"R27, R30, R44",R0603,3,39k,
"R36, R47",R0603,2,15k,
R39,R0603,1,6.8k,
