Designator,Mid X,Mid Y,Rotation,Layer
C1,146.6061,-56.7436,90.0,top
C10,165.3386,-69.7611,90.0,top
C11,135.4936,-76.1111,90.0,top
C12,163.7511,-77.6986,270.0,top
C13,140.5736,-79.2861,90.0,top
C14,157.7186,-86.9061,90.0,top
C15,141.5261,-92.6211,90.0,top
C16,132.6361,-93.5736,90.0,top
C17,145.6536,-97.0661,270.0,top
C18,155.1786,-97.0661,270.0,top
C19,157.0836,-97.0661,270.0,top
C2,152.9561,-56.7436,270.0,top
C20,158.6711,-97.0661,90.0,top
C21,138.3511,-98.6536,270.0,top
C22,133.2711,-103.4161,90.0,top
C23,141.2086,-103.4161,90.0,top
C24,145.3361,-111.3536,90.0,top
C25,153.5911,-114.5286,270.0,top
C26,133.2711,-117.3861,270.0,top
C27,141.2086,-117.3861,270.0,top
C28,144.3836,-117.3861,270.0,top
C3,156.7661,-56.7436,270.0,top
C4,163.4336,-56.7436,90.0,top
C5,143.1136,-57.3786,90.0,top
C6,146.2886,-69.7611,270.0,top
C7,152.9561,-69.7611,90.0,top
C8,156.7661,-69.7611,90.0,top
C9,163.4336,-69.7611,270.0,top
D3,157.4011,-78.651,0.0,top
D4,157.401,-80.8736,0.0,top
D5,141.8436,-108.8136,90.0,top
D6,143.7486,-108.8136,270.0,top
F1,130.7311,-53.5686,90.0,top
F2,166.2911,-53.5686,90.0,top
F3,130.7311,-156.4386,90.0,top
F4,166.2911,-156.4386,90.0,top
IC1,145.9711,-63.0936,0.0,top
IC2,154.8611,-63.0936,0.0,top
IC3,163.7511,-63.0936,0.0,top
IC4,136.7636,-85.9536,0.0,top
IC5,149.1461,-104.3686,0.0,top
IC6,135.8111,-110.0836,0.0,top
IC7,158.0361,-115.1636,180.0,top
P1,157.4011,-76.111,0.0,top
P2,163.7511,-97.7011,0.0,top
Q1,155.1786,-93.2561,90.0,top
Q2,142.7961,-97.0661,90.0,top
R1,148.1936,-56.7436,270.0,top
R10,151.3686,-69.7611,90.0,top
R11,158.3536,-69.7611,90.0,top
R12,159.9411,-69.7611,90.0,top
R13,161.5286,-69.7611,270.0,top
R14,133.9061,-79.2861,270.0,top
R15,135.4936,-79.2861,90.0,top
R16,137.0811,-79.2861,90.0,top
R17,138.6686,-79.2861,90.0,top
R19,136.4461,-92.6211,90.0,top
R2,149.7811,-56.7436,90.0,top
R20,138.0336,-92.6211,90.0,top
R21,139.6211,-92.6211,90.0,top
R22,147.2411,-97.0661,90.0,top
R23,148.8286,-97.0661,270.0,top
R24,150.4161,-97.0661,270.0,top
R25,152.0036,-97.0661,270.0,top
R26,153.5911,-97.0661,90.0,top
R27,136.4461,-98.6536,270.0,top
R28,131.6836,-103.4161,90.0,top
R29,134.8586,-103.4161,90.0,top
R3,151.3686,-56.7436,270.0,top
R30,136.4461,-103.4161,270.0,top
R31,139.6211,-103.4161,90.0,top
R32,142.7961,-103.4161,90.0,top
R34,146.9236,-111.3536,90.0,top
R35,148.5111,-111.3536,90.0,top
R36,150.0986,-111.3536,270.0,top
R37,153.5911,-111.3536,90.0,top
R38,155.1786,-111.3536,270.0,top
R39,155.1786,-114.5286,90.0,top
R4,158.3536,-56.7436,270.0,top
R40,160.5761,-114.8461,90.0,top
R41,131.6836,-117.3861,270.0,top
R42,134.8586,-117.3861,270.0,top
R43,136.4461,-117.3861,90.0,top
R44,138.0336,-117.3861,90.0,top
R45,139.6211,-117.3861,270.0,top
R46,142.7961,-117.3861,270.0,top
R47,155.8136,-145.9611,0.0,top
R5,159.9411,-56.7436,270.0,top
R6,161.5286,-56.7436,90.0,top
R8,147.8761,-69.7611,270.0,top
R9,149.4636,-69.7611,90.0,top
