Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C16, C18, C21, C42",C0402,7,1u,
"C10, C29, C50, C9",CP_Elec_5x5.4,4,10u,
"C11, C4",C0402,2,20p,
"C14, C15, C17, C2, C22, C23, C3, C30, C33, C34, C35, C43, C44, C45, C48, C49, C5, C51, C52, C53, C54, C55, C6, C7, C8",C0402,25,100n,
"C19, C20, C25",C1206,3,22u,
"C24, C26",CP_Elec_6.3x5.4,2,22u,
"C27, C31, C36",C0402,3,100p,
"C28, C32, C41, C46, C47, C56",C0402,6,1.0n,
"C37, C38, C39, C40",C0402,4,47p,
"D1, D3",SOD123,2,1N5819HW,
"D10, D11, D4, D5, D6, D7, D8, D9",0603,8,TVS,
D2,SOT23,1,BAT54S,
IC1,LQFP48,1,STM32F373CCT6,
IC10,DBZ_R-PDSO-G3,1,LM4040B10,
IC2,TSSOP16_065,1,4051PW,
IC4,SOP65P640X110-16N,1,DAC8164ICPW,
IC5,SOT89,1,LD2981ABU33,
"IC6, IC7",TSSOP14_065,2,MCP6004,
"IC8, IC9",TSSOP14_065,2,TLV4172,
L1,L2012C,1,33u,
"L2, L3, L4",0603,3,,
Q1,CTS406,1,8MHz,
"R1, R13, R7",R0402,3,2.4k,
"R10, R2, R46, R6",R0402,4,1.5k,
"R14, R28, R37, R38, R39, R40, R42",R0402,7,130k,
"R15, R16, R17, R29, R30, R35, R36, R54, R55",R0402,9,100k,
"R18, R19, R27, R31, R32, R33, R34, R41, R52",R0402,9,20k,
"R20, R21, R25, R43, R51",R0402,5,120k,
"R26, R44",R0402,2,390k,
"R3, R61, R62, R63",R0402,4,10k,
"R4, R5, R8, R9",R0402,4,100,
"R45, R47, R48, R49",R0603,4,1.0k,
R50,R0402,1,140k,
R53,R0402,1,33k,
"R64, R65, R66, R67",R0402,4,1.0k,
